,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
0,Emill1984,"Ciekawe czasy nastaly, ze atak #koronawirus.a pomogl rozpromowac na nowo gre, ktora ma juz 8 lat na karku ;) ",2020-01-30 23:59:58+00:00,0,13,,#koronawirus
1,DawidParzyk,Robot o nazwie Little Peanut dostarcza żywność osobom poddanym kwarantannie po podróży samolotem z pacjentami podejrzanymi o zarażenie koronawirusem Wuhan. Źródło: https://twitter.com/XHNews/status/1221782244525858819 #koronawirus #wirus #chiny #wuhan #technologia #robot #innowacja,2020-01-30 23:58:16+00:00,2,0,,#koronawirus #wirus #chiny #wuhan #technologia #robot #innowacja
2,SamPereira_,Marszałek Grodzki o Polsce: W Brukseli boją się że ten koronawirus zacznie się rozszerzać ,2020-01-30 23:55:13+00:00,10,27,,
3,mk1977_ewa,Koronawirus i lukrecja - odpowiadam hejterom https://youtu.be/YwYbsVytL-8 przez @YouTube,2020-01-30 23:51:40+00:00,0,0,@YouTube,
4,MediaNarodoweMN,"Podaj dalej, dziękujemy 👍 Czy #koronawirus jest realnym zagrożeniem ❓❓❓ ➡ https://youtu.be/NfGT0i9Yceo Specjalnie dla Mediów Narodowych wypowiedziała się pani ekspert w dziedzinie wirusologi ☢",2020-01-30 23:50:45+00:00,13,20,,#koronawirus
5,nizelis,"Zwierzęta domowe są zagrożone #koronawirus, ale nie nowym #nCoV19 a zwyklym, dotychczasowo występującym i nie przenoszą go na ludzi. To dobra wiadomość dla wszystkich psiarzy i kociarzy. #coronavirus",2020-01-30 23:49:39+00:00,0,0,,#koronawirus #nCoV19 #coronavirus
6,nizelis,"Relacja z #Wuhan, brakuje masek, kombinezonów, TESTÓW na #koronawirus, brakuje lekarzy i sprzętu. Osoby z objawami coraz częściej muszą liczyć na siebie. #coronavirus https://youtu.be/7AI3R41dGnU",2020-01-30 23:41:55+00:00,6,10,,#Wuhan #koronawirus #coronavirus
7,JoannaTeglund,LOT lotów z/do Chin nie zawiesi bo musi teraz zarabiać żeby spłacić 380 mln euro państwowych kredytów pomocowych zaciągniętych przez bankruta Condor w niemieckim państwowym banku KfW. A koszty poniesione w wyniku wybuchu epidemii #koronawirus #coronavirus pokryje polski podatnik.,2020-01-30 23:40:45+00:00,15,38,,#koronawirus #coronavirus
8,MorticiaJoanna,"WHO: ogłaszamy stan ""światowego pogotowia"" #koronawirus #coronavirus #coronaviruswuhan",2020-01-30 23:38:12+00:00,0,0,,#koronawirus #coronavirus #coronaviruswuhan
9,gumiscs,ja bym cie wyleczyl z korona virus i sie z tb przelizal,2020-01-30 23:37:33+00:00,0,4,,
10,JoannaTeglund,LOT musi teraz zarabiać bo ma do spłacenia 380 mln euro państwowych kredytów pomocowych zaciągniętych przez bankruta Condor w niemieckim państwowym banku KfW. A koszty poniesione w wyniku wybuchu epidemii #koronawirus #coronavirus pokryje polski podatnik.,2020-01-30 23:36:37+00:00,0,1,,#koronawirus #coronavirus
11,KubutekAsinski,Marian. Czym objawia się #KoronaWirus ? Jak wiesz to powiedz.,2020-01-30 23:36:28+00:00,0,0,,#KoronaWirus
12,Liwiaaewska,"Światowa Organizacja Zdrowia ogłasza ""stan wyjątkowy"". Chodzi o koronawirus z Chin ",2020-01-30 23:33:14+00:00,1,1,,
13,TomaszWolkowski,W tych krajach pojawił się koronawirus… ,2020-01-30 23:31:59+00:00,1,1,,
14,KubaZapasowy,Proste pytanie: Mamy szczepionkę na SARS lub jakikolwiek koronawirus? Nie? No właśnie. Szczepionka na koronawirus jest bardzo trudna do stworzenia i zajmie przynajmniej rok i wiedzą to wszyscy co choć trochę poświęcili czasu na genezę tego koronawirusa,2020-01-30 23:31:00+00:00,0,1,,
15,JoannaTeglund,#coronavirus #koronawirus 🦠 Co robi z ciałem? Z 99 pacjentów zabranych do szpitala w Wuhan: wszyscy mieli zapalenie płuc 82 miało gorączkę 81 kaszel 31 duszności 11 bóle mięśni 9 dezorientację 8 ból głowy 5 ból gardła 31 opuściło szpital 11 zmarło ,2020-01-30 23:29:14+00:00,3,6,,#coronavirus #koronawirus
16,kurtshoe,koronawirus we włoszech zgadnijcie kto ma wycieczke szkolna do włoch :'),2020-01-30 23:27:44+00:00,0,1,,
17,ewrzynxDDD,kręcone frytasy i sos śmietanowy z mcdonalda leczą koronawirus,2020-01-30 23:25:58+00:00,0,8,,
18,FriendlyAnonIB,"JEST 200 ZGONÓW PRZEKROCZONE, UKŁONY #koronawirus ",2020-01-30 23:23:39+00:00,0,0,,#koronawirus
19,Peryskop2,"Wstępne badania sugerują, że koronawirus Wuhana jest śmiertelny głównie dla pochodzenia etnicznego Azjatów wschodnich. Non-East Azjaci mają bardzo mało enzymu ACE2 w komórkach płuc, które są wykorzystywane przez wirusa jako mechanizm wejściowy. (!?) ",2020-01-30 23:19:39+00:00,0,0,,
20,MorticiaJoanna,Inne dane na temat #coronavirus. #koronawirus #coronaviruswuhan,2020-01-30 23:16:24+00:00,0,0,,#coronavirus #koronawirus #coronaviruswuhan
21,MorticiaJoanna,"Liczba potwierdzonych przypadków zakażenia nowym #koronawirus w Chinach przekroczyła 8,1 tys. Oznacza to, że jest już wyższa niż liczba odnotowanych na całym świecie infekcji wirusem SARS w czasie epidemii w latach 2002-2003- podały chińskie media. ",2020-01-30 23:11:48+00:00,1,1,,#koronawirus
22,discodzurnal,JADLAM PRECLA I UPADL MI NA PODLOGE!!!!! CO JAK KORONAWIRUS JUZ SIE NA NIEGO DOSTAL,2020-01-30 23:09:09+00:00,0,3,,
23,heheszki_kurwa,Myślałam że to koronawirus i jednak umrę ale się myliłam :c ,2020-01-30 23:06:39+00:00,0,2,,
24,urthereason28,"Słucham sobie pięknej muzyki a tu nagle ""KORONAWIRUS MOŻE BYĆ JUŻ W GDAŃSKU"" XD niby nie wierzę, ale",2020-01-30 22:56:52+00:00,0,1,,
25,krusznik0133,Koronawirus to efekt uboczny podtruwania się szczepionkami przejrzyjcie na oczy ludzie!,2020-01-30 22:55:54+00:00,3,5,,
26,Gracja_,Koronawirus. Światowa Organizacja Zdrowia ogłasza stan zagrożenia zdrowia publicznego ,2020-01-30 22:54:43+00:00,1,4,,
27,PSSE_Garwolin,"#Koronawirus Apel @GIS_gov i @NaczelnaL do całego środowiska medycznego o przekazywanie wiarygodnych informacji, opartych na aktualnej wiedzy zgodnej ze stanowiskiem Ministerstwa Zdrowia i Głównego Inspektora Sanitarnego",2020-01-30 22:49:22+00:00,2,3,@GIS_gov @NaczelnaL,#Koronawirus
28,JarekKociszewsk,Jak koronawirus się rozchodzi i jak się chronić? Mycie rąk i zasłanianie ust przy kichaniu czy kasłaniu pomaga. Prosta higiena ma sens... ,2020-01-30 22:48:57+00:00,7,12,,
29,Jacpoludek,Nowe dane z prowincji #Hubei ze stolicą w #Wuhan ... #coronavirus #koronawirus ... Ci co zmarli i Ci co wyzdrowieli. ,2020-01-30 22:45:47+00:00,3,3,,#Hubei #Wuhan #coronavirus #koronawirus
30,malowaznygosc,"30.01.2020 9171 zarażonych, 213 zmarło #coronavirus #wuhan #koronawirus #CoronaOutbreak #realtime https://wuhanviruslive.com/",2020-01-30 22:43:50+00:00,0,0,,#coronavirus #wuhan #koronawirus #CoronaOutbreak #realtime
31,patrycja_ley,"Allegrowe maseczki z tytułem ""koronawirus"" to tylko bait i nie mają zwykle nic wspólnego z maseczkami antywirusowymi. ❗️❗️AALEE... W Polsce na razie nie ma potwierdzonych przypadków koronawirusa, więc nie należy siać paniki. Nie ma potrzeby nosić full on masek antywirusowych.",2020-01-30 22:42:19+00:00,1,2,,
32,seb_pisarski,"Polska jest gotowa na #koronawirus Plan jest taki, jak epidemia zawędruje do nas, Duda zgłosi Przekupce z TK wniosek o zbadanie sporu kompetencyjnego w kwesti tego, kto jest większym zagrożeniem dla kraju: Jarek i jego bezmyślni słudzy czy grypopodobny wirus. I po sprawie. ",2020-01-30 22:42:08+00:00,2,8,,#koronawirus
